title,speakers,track,youtube_url,source_url,status,relevance,summary_path
Advanced workshop: Mastering AI Observability,Doug Guthrie,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"Agent Speedrun: Idea → Code → Deploy → Observe, Fix → Ship",Elizabeth Fuentes Leone; Sandhya Subramani,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"AI on Your Lakehouse: Context Comes in Shapes, Not Queries",Zach Blumenfeld,Track 2,,https://www.ai.engineer/worldsfair/schedule,missing,5,
AI Security Engineer Foundations + Certificate,Javier Garza,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
AI Security Engineer Foundations + Certificate,Micah Silverman,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Beyond RAG: Build a Relational Context Engine from Scratch,Peter Werry,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"Build a Platform, Unleash an Agent on it.... and Watch it Burn!",Michael Forrester; Whitney Lee,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Build with Perception Agents,Emile Baizel; Shruti Arora,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Building AI Agents with Real-Time Web Data,Yohan Raju,Track 8,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Building self-learning loops for your agent,Fuad Ali,Posttraining & Midtraining,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Burn your flags: How PayPal designs interactive CLI tools for agents,Mark Lummus; Navinkumar Patil,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"Context Engineering in 2026: Compaction, Memory & Cost",Louis-François Bouchard; Samridhi Vaid; Omar Solano,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Continuously improving agents with Langfuse,Lotte Verheyden; Annabell Schäfer,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Cooking with Codex,Charlie Guo; Gabriel Chua,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Evolution of agentic surfaces,Gagan Bhat; Isabella Kai He,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
From approval loops to autonomous agents with Docker,John Craft; Dan Ndombe,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
From Vibes to Production: Evaluating and Shipping AI Agents That Work 101,Laurie Voss,Track 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
From Vibes to Production: Evaluating and Shipping AI Agents That Work 201,Laurie Voss,Track 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
From zero to deployed on Azure with AI agents,Gustavo Cordido,Track M,,https://www.ai.engineer/worldsfair/schedule,missing,5,
From Zero to Leaderboard: Building an End-to-End AI Agent Evaluation Pipeline,Wolfram Ravenwolf,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Get Started with Models in Microsoft Foundry to Build AI Apps,Pamela Fox,Track M,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Hill-climbing Skills: How to Improve Agents Without Touching the Model,Shubhankar Srivastava,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
How I learned to stop worrying and love the sandbox,Matt Brockman,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
How Reducto parsed the Epstein Files for the Viral JMail Project: The Secret Complexities of Document,Palak Agarwal,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
How to Build Quality Gates into Agentic Coding Workflows,Nnenna Ndukwe,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Human Connection in the Age of AI,"Joyce Zhang; Carole Robin, Ph.D.",Expo Stage 2,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Let your agent cook: using skills to evaluate and improve your app,Ankur Duggal,Track 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"Lifestyles of the AI-Native: Voice-coding, agent skills, hooks and scheduled tasks",Nick Nisi; Zack Proser,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Local LLMs and workstation agents: Part 1,Ahmad Osman,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Local LLMs and workstation agents: Part 2,Ahmad Osman,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"Observe, optimize and protect your hosted agents in Microsoft Foundry",Pamela Fox,Track M,,https://www.ai.engineer/worldsfair/schedule,missing,5,
RAG Needs a Map: Using GraphRAG to Retrieve Connected Context,Nyah Macklin,Track 2,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Teaching Agents to Search: Building Synthetic Training Pipelines with NVIDIA Data Designer,Dhruv Nathawani,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
The Art and Science of Loopcraft with Pi (and friends),Joel Hooks,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
The Autonomous Computer: Full-stack Infrastructure for Computer Use Agents,Ang Li,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
The best SDLC is the one you build yourself: Why orchestration changes everything,Shane Wolf; Andrei Bocan,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
The Dark Arts of Skill Engineering,Paul Bakaus,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
The model swap workshop,Pamela Fox; Arun Sekhar,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
The Prime Intellect Stack,Will Brown,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Total Recall: Agent Memory and Harness Engineering,Ignacio Martinez,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Turning My Obsidian Vault Into a Local AI Engineer,Filip Makraduli,Workshops Day 1,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Vector Isn't Enough: Hybrid Search & Retrieval for AI Engineers,Jeff Vestal,Track 7,,https://www.ai.engineer/worldsfair/schedule,missing,5,
My name is... my name is...: A Linguistic Map for Building and Debugging Voice Agents,Midam Kim,Voice & Realtime AI,,https://www.ai.engineer/worldsfair/schedule,missing,5,
6 Pillars of an Agentic Harness That Fixes Production Incidents,Varun Krovvidi,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Agentic SDLC at Uber: Building Blocks for Uber's Software Factory,Uday Kiran Medisetty; Adam Huda,AI-Native Enterprises,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Agentic Search for Coding Agents,Jakub Hojsan,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"Agentic Security: Permissions, Provenance, and the Agent Supply Chain",Steve Yegge,Security,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Agentic vs. Vector Search: An Eval-Driven Approach to Coding Agent Performance,Jess Wang,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"Agents Don't Have Coworkers, They Have Hostages",Gabriel Martinez,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"Agents, codebases, and teams: what it actually takes to ship together",Aditya Khandelwal,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Agents' next frontier: agent-to-agent and network effects,Jean-Denis Greze,Claws & Personal Agents,,https://www.ai.engineer/worldsfair/schedule,missing,5,
AI Evals Platform for Cross-Functional Teams at Scale,Nachiket Paranjape; Swaroop Chitlur Haridas,AI-Native Enterprises,,https://www.ai.engineer/worldsfair/schedule,missing,5,
AI tools for Forward Deployed Engineering,Vasuman Moza,Forward Deployed Engineering,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Beyond Golden Signals: Monitoring in the Age of GenAI,Marina Petzel,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Build agents fast with GitHub Copilot (from idea to working app),Idan Gazit,Track M,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"Building agents is trivial now, context is the next frontier",Jeff Ng,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Building the Document Context Layer for AI Agents,Jerry Liu,Vision & OCR,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Building the engine while flying the plane — launching the Figma MCP server,Jesse Lumarie,AI-Native Enterprises,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Can LLMs write fast multi-GPU kernels? We built a benchmark to find out.,Simran Arora,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Claude for long-horizon tasks,Lance Martin,Claws & Personal Agents,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Continuous Engineering: Software Development for the Age of Agents,,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Data and Environment Curation for Post-training LLMs,Mahesh Sathiamoorthy,Data Quality,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Deploying browser agents at scale,Derek Meegan,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Designing Evals That Earn User Trust,Felipe Blanes,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Dual-Surface Architecture: Serving Humans and Agents from the Same Tool Layer,Ethan (Jung Min) Cha,Security,,https://www.ai.engineer/worldsfair/schedule,missing,5,
"Every Agent, Everywhere, All at Once",Vlad Luzin,,,https://www.ai.engineer/worldsfair/schedule,missing,5,
Every Harness Will Become A Claw,Sam Bhagwat,Claws & Personal Agents,,https://www.ai.engineer/worldsfair/schedule,missing,5,
fighting slop with slop,Vaibhav Gupta,Software Factories,https://www.youtube.com/watch?v=htM02KMNZnk&t=22800s,https://www.ai.engineer/worldsfair/schedule,found_in_long_stream,5,
From AI-Assisted to AI-Native: Building a Frontier Development Team,Clare Liguori,AI-Native Enterprises,,https://www.ai.engineer/worldsfair/schedule,missing,5,
From approval loops to autonomous agents with Docker pt1,John Craft,LLM Recsys,,https://www.ai.engineer/worldsfair/schedule,missing,5,
From approval loops to autonomous agents with Docker pt2,John Craft,LLM Recsys,,https://www.ai.engineer/worldsfair/schedule,missing,5,
